ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
50050,5050,Indianapolis and Marion County Public Transportation,IndyGo,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1501 West Washington Street,,,Indianapolis,IN,46222,,5,http://www.indygo.net/,1202,72083116,396,"928,281",33,"Indianapolis, IN",,"1,487,483","2,108",706,Y,136,66,202,,
50051,5051,Greater Lafayette Public Transportation Corporation,CityBus,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1250 Canal Road,,588,Lafayette,IN,47902,588,5,http://www.gocitybus.com/,1194,67880757,74,"134,333",223,"Lafayette, IN",,"147,725","2,304",64,Y,61,,61,,
50052,5052,South Bend Public Transportation Corporation,Transpo,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1401 S. Lafayette Blvd.,,1437,South Bend,IN,46613,,5,http://www.sbtranspo.com/,1197,42838474,68,"154,346",136,"South Bend, IN-MI",,"278,165","1,727",161,Y,46,,46,,
50053,5053,Terre Haute Transit Utility,THTU,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,901 South 14th Street,,,Terre Haute,IN,47807,4923,5,http://www.terrehaute.in.gov/,2568,153437983,18,"59,614",316,"Terre Haute, IN",,"92,742","1,735",53,Y,11,,11,,
50054,5054,Muncie Indiana Transit System,MITS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1300 East Seymour Street,,,Muncie,IN,47302,,5,http://www.mitsbus.org/,2053,48430987,27,"70,085",322,"Muncie, IN",,"90,580","1,941",47,Y,36,,36,,
50056,5056,Greater Peoria Mass Transit District,CityLink,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,2105 Northeast Jefferson Street,,,Peoria,IL,61603,3587,5,http://www.ridecitylink.org/,1179,45516218,105,"209,896",139,"Peoria, IL",,"266,921","1,860",144,Y,45,37,82,,
50057,5057,Rock Island County Metropolitan Mass Transit District,MetroLink,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1515 River Drive,,,Moline ,IL,61265,,5,http://www.qcmetrolink.com/,1180,86042413,46,"120,378",134,"Davenport, IA-IL",,"280,051","2,026",138,Y,55,7,62,,
50058,5058,Rockford Mass Transit District,RMTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,520 Mulberry Street,,,Rockford,IL,61101,1016,5,http://www.rmtd.org/,1186,82039322,155,"227,502",127,"Rockford, IL",,"296,863","1,940",153,Y,51,,51,,
50059,5059,Springfield Mass Transit District,SMTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,928 South Ninth Street,,,Springfield,IL,62703,2497,5,http://www.smtd.org/,1187,62326152,65,"123,682",206,"Springfield, IL",,"161,316","1,747",92,Y,60,,60,,
50060,5060,Champaign-Urbana Mass Transit District,C-U MTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1101 East University Avenue,,,Urbana,IL,61802,2009,5,http://www.cumtd.com/,1188,65236325,40,"136,540",224,"Champaign, IL",,"145,361","3,100",47,Y,105,15,120,,
50061,5061,Decatur Public Transit System,DPTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,555 East Wood Street,,,Decatur,IL,62523,1325,5,http://www.decaturil.gov/transit.htm/,1274,75613000,53,"81,337",313,"Decatur, IL",,"93,863","1,586",59,Y,25,6,31,,
50066,5066,Chicago Transit Authority,CTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,567 West Lake Street,,,Chicago,IL,60661,1498,5,http://www.transitchicago.com/,1182,5532205,309,"3,272,295",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,"2,712",,"2,712",,
50088,5088,Shoreline Metro,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,608 South Commerce Street,,,Sheboygan,WI,53081,4356,5,http://www.shorelinemetro.com/,2059,76144153,23,"59,490",388,"Sheboygan, WI",,"71,313","2,133",33,Y,23,,23,,
50090,5090,Richland County Transit,RCT,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,35 North Park Street,,,Mansfield,OH,44902,,5,www.rctbuses.com/,1240,194174645,39,"66,787",372,"Mansfield, OH",,"75,250","1,496",50,Y,,16,16,,
50091,5091,Wausau Area Transit System,WATS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,420 Plumer Street,,,Wausau,WI,54403,6276,5,http://metroride.ci.wausau.wi.us/,2061,933366296,19,"39,302",375,"Wausau, WI",,"74,632","1,592",47,Y,21,,21,,
50092,5092,City of Rochester Public Transportation,RPT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,"201 4th Street, S.E.",Room 108,,Rochester,MN,55904,,5,http://www.RPTRide.com/,1222,77629467,51,"104,230",288,"Rochester, MN",,"107,677","2,129",51,Y,,42,42,,
50093,5093,Lima Allen County Regional Transit Authority,LACRTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,200 East High Street,,,Lima,OH,45801,4424,5,http://www.acrta.com/,1230,22368849,407,"106,094",381,"Lima, OH",,"72,852","1,392",52,Y,23,,23,,
50095,5095,Lorain County Transit,LCT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,226 Middle Avenue,,,Elyria,OH,44035,,5,http://www.loraincounty.us/transit/,1229,618080436,49,"127,025",191,"Lorain-Elyria, OH",,"180,956","1,806",100,Y,,12,12,,
50096,5096,City of Waukesha Transit Commission,Waukesha Metro Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,2311 Badger Drive,,,Waukesha,WI,53188,5932,5,http://www.waukeshametro.org/,5019,73850166,43,"141,642",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,25,16,41,,
50098,5098,Michigan City Transit,MC Transit,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1801 Kentucky Street,,,Michigan City,IN,46360,,5,http://emichigancity.com/,6273,51213551,20,"31,479",418,"Michigan City-La Porte, IN-MI",,"66,025","1,695",39,N,8,,8,,
50099,5099,Eau Claire Transit,ECT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,910 Forest Street,,,Eau Claire,WI,54703,,5,http://www.ci.eau-claire.wi.us/,1319,20495156,28,"74,601",297,"Eau Claire, WI",,"102,852","1,491",69,Y,16,34,50,,
50103,5103,North Township of Lake County Dial-A-Ride,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,5947 Hohman Avenue,,,Hammond,IN,46320,,5,http://www.northtownshiptrustee.com/,,45240165,51,"162,855",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,7,25,32,,
50104,5104,Northern Indiana Commuter Transportation District,NICTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,33 East U.S. Highway 12,,,Chesterton,IN,46304,,5,http://www.nictd.com/,1201,49351778,"1,970","958,644",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,70,,70,,
50107,5107,Henderson Area Rapid Transit,HART,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,P. O. Box 716,,716,Henderson,KY,42419,716,5,http://www.cityofhendersonky.org/,2052,71339527,16,"28,900",159,"Evansville, IN-KY",,"229,351","1,930",119,Y,6,,6,,
50108,5108,Janesville Transit System,JTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,101 Black Bridge Rd.,,,Janesville,WI,53545,784,5,http://www.ci.janesville.wi.us/,1322,73841025,28,"63,600",396,"Janesville, WI",,"69,658","2,263",31,Y,14,2,16,,
50109,5109,City of Beloit Transit System,BTS,Beloit Transit System,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1225 Willowbrook Road,,,Beloit,WI,53511,,5,http://www.beloittransit.com/,1318,73859266,16,"35,871",432,"Beloit, WI-IL",,"63,835","1,858",34,Y,6,2,8,,
50110,5110,Bloomington Public Transportation Corporation,BT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,130 West Grimes Lane,,,Bloomington,IN,47403,,5,http://www.bloomingtontransit.com/,1909,156057846,21,"80,405",286,"Bloomington, IN",,"108,657","2,426",45,Y,38,,38,,
50113,5113,Pace - Suburban Bus Division,PACE,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,550 West Algonquin Road,,,Arlington Heights,IL,60005,,5,http://www.pacebus.com/,5118,131205833,"3,519","5,630,238",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,"1,217",402,"1,619",,
50117,5117,Laketran,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,555 Lake Shore Blvd,,158,Grand River,OH,44045,158,5,http://www.laketran.com/,3039,156034969,227,"229,230",25,"Cleveland, OH",,"1,780,673","2,307",772,Y,95,,95,,
50118,5118,Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,Metra,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,547 West Jackson Boulevard,,,Chicago,IL,60661,,5,http://www.Metrarail.com/,5005,52272150,"1,940","7,261,176",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,"1,061",,"1,061",,
50119,5119,City of Detroit Department of Transportation,DDOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1301 East Warren,,,Detroit,MI,48207,,5,http://www.ridedetroittransit.com/,2107,6530661,144,"713,777",11,"Detroit, MI",,"3,734,090","2,793","1,337",Y,230,226,456,,
50131,5131,"Opportunity Enterprises, Inc.",OE,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2016,10/31/2016,2801 Evans Avenue,,,Valparaiso,IN,46383,,5,http://www.oppent.org/,1193,23695729,590,"160,105",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,15,,15,,
50132,5132,Twin Cities Area Transportation Authority,TCATA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,275 East Wall Street,,837,Benton Harbor,MI,49022,837,5,http://mywaythere.org/tcata.asp,1215,74330093,14,"27,000",443,"Benton Harbor-St. Joseph-Fair Plain, MI",,"61,022","1,308",47,Y,25,,25,,
50133,5133,Chippewa Falls General Public Shared-Ride Taxi System,CFTN,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,30 West Central Street,,,Chippewa Falls,WI,54729,,5,http://www.chippewafalls-wi.gov/,5254,84490614,11,"13,718",297,"Eau Claire, WI",,"102,852","1,491",69,Y,,8,8,,
50141,5141,Detroit Transportation Corporation,Detroit People Mover,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,535 Griswold Suite 400,,,Detroit,MI,48226,,5,http://www.thepeoplemover.com/,5574,607798118,3,"92,477",11,"Detroit, MI",,"3,734,090","2,793","1,337",Y,10,,10,,
50142,5142,Steel Valley Regional Transit Authority,Steel Valley RTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,555 Adams Street,,1177,Steubenville,OH,43952,1177,5,http://www.svrta.com/,5702,112741285,13,"22,113",389,"Weirton-Steubenville, WV-OH-PA",,"70,889","1,404",51,Y,7,,7,,
50143,5143,Brunswick Transit Alternative,BTA,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,4095 Center Road,,,Brunswick,OH,44212,,5,http://www.brunswick.oh.us/,,87711800,37,"46,638",25,"Cleveland, OH",,"1,780,673","2,307",772,Y,2,,2,,
50145,5145,City of Kokomo,COK,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,100 South Union Street,,,Kokomo,IN,46901,4632,5,http://www.kokomompo.com/,5470,47216288,80,"56,842",437,"Kokomo, IN",,"62,182","1,715",36,Y,30,,30,,
50146,5146,Madison County Transit District,MCT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,One Transit Way,,7500,Granite City,IL,62040,7500,5,http://www.mct.org/,5622,131055548,189,"232,298",20,"St. Louis, MO-IL",,"2,150,706","2,329",924,,52,93,145,,
50148,5148,Blue Water Area Transportation Commission,Blue Water Area Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,2021 Lapeer Avenue,,,Port Huron,MI,48060,4155,5,http://www.bwbus.com/,5636,138057034,700,"163,040",336,"Port Huron, MI",,"87,106","1,441",60,Y,55,150,205,,
50149,5149,Michiana Area Council of Governments,MACOG,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,12/31/2016,4/30/2017,227 West Jefferson Boulevard,"County-City Building, Room 1120",,South Bend,IN,46601,1830,5,http://www.interurbantrolley.com/,1288,179378658,90,"142,692",227,"Elkhart, IN-MI",,"143,592","1,563",92,Y,,16,16,,
50152,5152,Onalaska Shared Ride Taxi City of Onalaska, ,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,415 Main Street,,,Onalaska,WI,54650,2953,5,http://www.cityofonalaska.com/,5657,50422997,22,"33,225",298,"La Crosse, WI-MN",,"100,868","1,978",51,Y,,9,9,,
50154,5154,Metropolitan Council,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,390 Robert St N,,,St. Paul,MN,55101,1634,5,http://www.metrocouncil.org/,1305,175974724,"2,975","2,849,712",16,"Minneapolis-St. Paul, MN-WI",,"2,650,890","2,594","1,022",Y,,219,219,,
50155,5155,Metro Mobility,,,Active,Full Reporter,Urban,"Subsidiary Unit of a Transit Agency, Reporting Separately",,,,12/31/2016,4/30/2017,Metropolitan Council,390 North Robert Street,,St. Paul,MN,55101,1805,5,http://www.metrocouncil.org/,1305,175974724,"1,111","2,314,701",16,"Minneapolis-St. Paul, MN-WI",,"2,650,890","2,594","1,022",Y,,469,469,,
50157,5157,Butler County Regional Transit Authority,BCRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,3045 Moser Court,Hamilton Enterprise Park,,Hamilton,OH,45011,,5,http://www.butlercountyrta.com/,5774,37756165,53,"368,130",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,41,,41,,
50158,5158,University of Michigan Parking and Transportation Services,UMTS,,Active,Full Reporter,Urban,University,,,,6/30/2016,10/31/2016,523 S. Division St,Campus Box 2912,,Ann Arbor,MI,48104,1611,5,http://www.pts.umich.edu/,,101570489,12,"66,641",125,"Ann Arbor, MI",,"306,022","1,918",160,N,38,,38,,
50159,5159,River Valley Metro Mass Transit District,RVMMTD,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1137 E. 5000 N. Road,,,Bourbonnais,IL,60914,,5,http://www.rivervalleymetro.com/,5809,825765808,27,"66,386",350,"Kankakee, IL",,"81,926","2,205",37,Y,,17,17,,
50160,5160,Washington County Transit,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,900 Lang Street,,,West Bend,WI,53090,,5,http://www.co.washington.wi.us/,6195,52389079,435,"132,612",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,,33,33,,
50161,5161,Ozaukee County Transit Services,OCTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,410 South Spring Street,,994,Port Washington,WI,53074,,5,http://www.ozaukeetransit.com/,6155,71159479,235,"86,389",35,"Milwaukee, WI",,"1,376,476","2,523",546,Y,7,23,30,,
50162,5162,TransPorte,Our Citys Wheels,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,102 L Street,,,Laporte,IN,46350,9082,5,http://www.cityoflaporte.com/,1193,74314246,13,"21,692",418,"Michigan City-La Porte, IN-MI",,"66,025","1,695",39,Y,5,,5,,
50163,5163,Licking County Transit Board,LCTB,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,745 East Main Street,,,Newark,OH,43055,6932,5,http://www.lcounty.com/,6332,1315238,683,"166,492",369,"Newark, OH",,"76,068","1,806",42,Y,,38,38,,
50165,5165,Greene County Transit Board,Greene CATS,Greene CATS Public Transit,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,2380 Bellbrook Ave,,,Xenia,OH,45385,,5,http://www.co.greene.oh.us/greenecats/,6281,140994604,425,"147,886",59,"Dayton, OH",,"724,091","2,060",351,Y,,41,41,,
50166,5166,Clermont Transportation Connection,CTC,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,4003 Filager Road,,,Batavia,OH,45103,8924,5,http://www.ctc.clermontcountyohio.gov/,6278,77435543,452,"203,022",30,"Cincinnati, OH-KY-IN",,"1,624,827","2,063",788,Y,25,18,43,,
50167,5167,"South Lake County Community Services, Inc.",SLCCS,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,12/31/2016,4/30/2017,1450 E. Joliet Street,Suite 202,,Crown Point,IN,46307,,5,,1193,802832592,550,"220,752",3,"Chicago, IL-IN",,"8,608,208","3,524","2,443",Y,14,,14,,
50169,5169,Miami County Public Transit,MCPT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,2036 North County Road 25A,,,Troy,OH,45373,2984,5,http://www.co.miami.oh.us/,6284,832210186,410,"101,256",59,"Dayton, OH",,"724,091","2,060",351,Y,,17,17,,
50171,5171,Fond du Lac Area Transit,Fond du Lac Area Transit,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,530 North Doty Street, ,,Fond du Lac,WI,54935,1945,5,http://www.fdl.wi.gov/general-information.iml?DeptID=30/,2116,78942810,19,"49,167",468,"Fond du Lac, WI",,"54,901","1,903",29,Y,7,20,27,,
50174,5174,City of Danville/Danville Mass Transit,DMT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,101 North Jackson,,,Danville,IL,61832,,5,http://www.rideDMT.org/,6310,71437586,34,"88,517",492,"Danville, IL-IN",,"50,996","1,711",30,Y,11,2,13,,
50176,5176,City of DeKalb,City of DeKalb,,Active,Separate Service,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,200 South Fourth Street,,,DeKalb,IL,60115,3733,5,http://www.dsats.org,6299,142449680,26,"68,545",404,"DeKalb, IL",,"68,545","2,658",26,Y,,,,,
